open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1609459200000,737.39000000,739.95000000,730.56000000,735.17000000,11583.42476000,1609462799999,8508253.38627180,14045,5709.32999000,4193194.86772930,0
1609462800000,735.17000000,750.29000000,734.55000000,749.50000000,19452.23467000,1609466399999,14482076.56429800,21252,9784.96769000,7283845.73145800,0
1609466400000,749.53000000,750.28000000,743.41000000,745.32000000,12185.61984000,1609469999999,9095228.25717990,13503,5236.02931000,3908172.80045710,0
1609470000000,745.33000000,748.51000000,744.48000000,746.14000000,6908.58143000,1609473599999,5157433.35342080,8710,3403.72527000,2540948.81389310,0
1609473600000,746.15000000,748.38000000,740.85000000,743.59000000,8115.03688000,1609477199999,6045628.27433190,10441,4246.95872000,3164471.01425010,0
1609477200000,743.56000000,744.59000000,740.77000000,741.98000000,5840.47089000,1609480799999,4336544.70483470,6983,3256.68095000,2418024.05361610,0
1609480800000,741.98000000,744.34000000,738.39000000,741.02000000,6912.64895000,1609484399999,5123372.62541220,7664,3678.51507000,2726751.82356340,0
1609484400000,741.03000000,741.64000000,735.68000000,738.56000000,9192.15079000,1609487999999,6784554.88919290,9983,4139.34693000,3055202.80204390,0
1609488000000,738.56000000,739.65000000,726.48000000,731.46000000,22399.73722000,1609491599999,16395668.79754920,20562,10753.01629000,7871027.91131570,0
1609491600000,731.31000000,736.00000000,730.27000000,735.08000000,8254.58058000,1609495199999,6060173.18144390,9927,4468.22681000,3280636.82735150,0
1609495200000,735.08000000,740.19000000,734.69000000,738.43000000,7426.65702000,1609498799999,5477774.36328110,8905,4327.23500000,3191284.15218970,0
1609498800000,738.40000000,743.34000000,737.68000000,740.50000000,8959.57218000,1609502399999,6636030.27461940,10630,4374.78898000,3240487.94007390,0
1609502400000,740.49000000,745.18000000,733.91000000,734.87000000,18576.61542000,1609505999999,13746452.31858290,19030,9062.58747000,6704865.67650720,0
1609506000000,734.88000000,743.58000000,734.76000000,741.73000000,7928.60449000,1609509599999,5863526.01823910,9975,4281.99223000,3166266.44661130,0
1609509600000,741.73000000,744.47000000,737.98000000,739.50000000,8035.81870000,1609513199999,5954407.31141710,10692,3695.89551000,2738769.75319310,0
1609513200000,739.50000000,741.28000000,735.23000000,736.96000000,8231.80519000,1609516799999,6076941.38255520,10269,3997.12992000,2950309.46815230,0
