open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1653901200000,0.00010240,0.00029000,0.00010240,0.00015301,475430782775.89000000,1653904799999,71218127.67365703,285906,249113739291.95000000,37610272.24055770,0
1653904800000,0.00015301,0.00017765,0.00014620,0.00015300,489984587546.57000000,1653908399999,78639365.36699894,316469,241556157046.75000000,38873304.82474625,0
1653908400000,0.00015310,0.00016000,0.00013032,0.00013150,242581648920.30000000,1653911999999,35430263.09406961,158061,107225313028.72000000,15720530.12265692,0
1653912000000,0.00013150,0.00014730,0.00013124,0.00014094,183242525566.31000000,1653915599999,25745738.38377594,120054,93537140607.87000000,13136735.11193418,0
1653915600000,0.00014098,0.00014300,0.00013151,0.00014143,123681621912.90000000,1653919199999,17007970.85310719,89021,61045786548.35000000,8403424.85489664,0
1653919200000,0.00014149,0.00014655,0.00013950,0.00014319,142441932335.26000000,1653922799999,20399367.22435694,94048,76126841664.06000000,10916750.91124714,0
1653922800000,0.00014325,0.00014327,0.00013601,0.00014002,81220836053.43000000,1653926399999,11322488.08146386,59450,37673506072.60000000,5252212.24055795,0
1653926400000,0.00014006,0.00014300,0.00013268,0.00013464,98354342839.84000000,1653929999999,13536118.16828484,69393,41955155368.24000000,5784248.24463378,0
1653930000000,0.00013468,0.00014250,0.00013450,0.00014242,83110936855.44000000,1653933599999,11451256.56072307,58859,43967322805.00000000,6069572.41531936,0
1653933600000,0.00014242,0.00014250,0.00013696,0.00013915,60501897835.72000000,1653937199999,8423958.19317863,47400,28764097473.97000000,4006750.74043307,0
1653937200000,0.00013913,0.00013919,0.00013641,0.00013652,37213020894.46000000,1653940799999,5123289.22132090,32410,16301536377.51000000,2244497.54501476,0
1653940800000,0.00013658,0.00013750,0.00012911,0.00013445,75588504998.77000000,1653944399999,10105920.13312828,56468,32468076267.56000000,4348405.23347983,0
1653944400000,0.00013445,0.00013447,0.00011630,0.00012992,184570356886.98000000,1653947999999,23217221.01069771,117653,86984646180.38000000,10941923.06330309,0
1653948000000,0.00012988,0.00013597,0.00012577,0.00012743,91747269709.66000000,1653951599999,12042217.70089524,64486,45268423342.26000000,5949334.07031208,0
1653951600000,0.00012746,0.00012880,0.00012100,0.00012629,81725684338.63000000,1653955199999,10249310.30175247,50871,40984788336.19000000,5142596.56813027,0
1653955200000,0.00012628,0.00012816,0.00011849,0.00011894,76751803796.99000000,1653958799999,9369043.83503578,49070,32393624772.27000000,3958020.70229082,0
1653958800000,0.00011893,0.00012489,0.00011560,0.00011645,82653084008.17000000,1653962399999,9892216.03556239,48731,40056766073.79000000,4800275.99294443,0
1653962400000,0.00011652,0.00013811,0.00011433,0.00012939,176640786438.38000000,1653965999999,22339141.35377696,104553,97339808835.66000000,12338919.55015617,0
1653966000000,0.00012949,0.00013354,0.00012616,0.00012993,120287302282.79000000,1653969599999,15605207.61983154,86353,61431182530.30000000,7975942.30620343,0
1653969600000,0.00012992,0.00013290,0.00012227,0.00012300,87894625950.94000000,1653973199999,11210768.74989349,65383,39873881103.66000000,5092777.10049294,0
1653973200000,0.00012301,0.00012500,0.00011200,0.00011207,154492329746.11000000,1653976799999,18308065.96133470,107531,69223181126.46000000,8214993.89247102,0
1653976800000,0.00011207,0.00012790,0.00011200,0.00011778,212914985750.21000000,1653980399999,25581833.04761725,159833,104118570265.08000000,12515072.13508147,0
1653980400000,0.00011778,0.00012175,0.00011731,0.00011905,82101208643.06000000,1653983999999,9771495.77927680,57302,39991150006.57000000,4761674.19081403,0
1653984000000,0.00011905,0.00012100,0.00011400,0.00011769,87298829356.43000000,1653987599999,10320226.69417852,63751,43557547526.35000000,5156203.00333047,0
1653987600000,0.00011773,0.00011776,0.00011343,0.00011473,67856335172.16000000,1653991199999,7857395.05213021,52047,31451937718.92000000,3642672.93069409,0
1653991200000,0.00011478,0.00011900,0.00011355,0.00011557,86303207194.38000000,1653994799999,10052928.37423262,58562,43018205726.78000000,5013674.95584398,0
1653994800000,0.00011557,0.00011825,0.00011253,0.00011750,127055345794.08000000,1653998399999,14600968.68210820,79513,63202172212.50000000,7269924.20796759,0
1653998400000,0.00011750,0.00011810,0.00011400,0.00011786,77735520724.77000000,1654001999999,9015054.98580445,50272,39371685026.74000000,4568780.83228261,0
1654002000000,0.00011787,0.00011792,0.00011000,0.00011299,87954627730.79000000,1654005599999,10026782.21100853,58086,36594939227.86000000,4182442.76821453,0
1654005600000,0.00011299,0.00011433,0.00010800,0.00011226,113924081097.40000000,1654009199999,12690703.90599427,70485,56170477929.52000000,6260562.26717636,0
1654009200000,0.00011225,0.00011299,0.00010941,0.00011138,65996546538.13000000,1654012799999,7337494.05383090,46345,31052386869.71000000,3453296.80779508,0
1654012800000,0.00011138,0.00011674,0.00011126,0.00011394,100344214351.52000000,1654016399999,11458417.78167552,60244,52776420962.93000000,6028106.15097432,0
1654016400000,0.00011394,0.00011613,0.00011350,0.00011455,45647218415.98000000,1654019999999,5237565.70116812,30790,25366261264.04000000,2912250.27628828,0
1654020000000,0.00011455,0.00011511,0.00011060,0.00011094,44623814808.73000000,1654023599999,5036735.27354934,34188,19781703574.72000000,2233784.29797694,0
1654023600000,0.00011094,0.00011294,0.00010800,0.00010997,55208899643.48000000,1654027199999,6100921.83070252,42183,23888759748.59000000,2644089.01445744,0
1654027200000,0.00010997,0.00011200,0.00010870,0.00011007,40105250469.83000000,1654030799999,4429941.31449044,28585,18718841966.26000000,2068121.77531180,0
1654030800000,0.00011005,0.00011579,0.00010993,0.00011173,60935564799.05000000,1654034399999,6900305.60055433,39237,31767457452.90000000,3598283.44317825,0
1654034400000,0.00011173,0.00011374,0.00010993,0.00011308,37367814161.51000000,1654037999999,4183006.54971366,25427,17564714016.19000000,1969589.78496905,0
1654038000000,0.00011306,0.00011490,0.00011251,0.00011419,32484453035.05000000,1654041599999,3699322.24363245,21597,16768083953.12000000,1909592.80290174,0
1654041600000,0.00011420,0.00012500,0.00011418,0.00012387,95013295091.96000000,1654045199999,11355815.34277891,55664,57098794873.79000000,6824743.51883963,0
1654045200000,0.00012386,0.00012800,0.00011747,0.00012020,120267048017.67000000,1654048799999,14722802.69362737,66451,60786433624.20000000,7446655.01236472,0
1654048800000,0.00012019,0.00012487,0.00011434,0.00011654,70291873377.49000000,1654052399999,8312980.34510329,37455,32068084035.44000000,3798368.02690824,0
1654052400000,0.00011649,0.00011967,0.00011300,0.00011363,47516311677.15000000,1654055999999,5493238.77632713,25591,20826297157.09000000,2411900.55209101,0
1654056000000,0.00011365,0.00011449,0.00010940,0.00011204,68001313789.01000000,1654059599999,7567596.85103546,35546,28278816920.47000000,3149723.03377540,0
1654059600000,0.00011210,0.00011273,0.00010162,0.00010703,103720623609.84000000,1654063199999,11101819.17832995,58667,44636012026.73000000,4784814.76763109,0
1654063200000,0.00010703,0.00010861,0.00010365,0.00010750,66616276220.58000000,1654066799999,7100446.82279036,34081,31856859909.61000000,3395909.43001426,0
1654066800000,0.00010751,0.00010758,0.00010390,0.00010410,47689120668.77000000,1654070399999,5029167.43136153,27400,23489237249.24000000,2477464.07333939,0
1654070400000,0.00010404,0.00010715,0.00010321,0.00010518,50255691610.75000000,1654073999999,5284981.69785268,28704,23739606799.26000000,2497905.33837847,0
1654074000000,0.00010518,0.00011016,0.00010485,0.00010912,60162152259.70000000,1654077599999,6479721.41670623,30696,31571652535.17000000,3399369.10784602,0
1654077600000,0.00010904,0.00010925,0.00010500,0.00010592,42997978697.29000000,1654081199999,4583386.13280333,23902,19070623140.17000000,2032839.50573778,0
1654081200000,0.00010591,0.00010679,0.00010351,0.00010424,45247092561.72000000,1654084799999,4753615.34522323,23900,20835881576.54000000,2188886.06368171,0
1654084800000,0.00010425,0.00010608,0.00010374,0.00010555,39671360963.95000000,1654088399999,4150237.19372695,21707,20117657551.47000000,2104990.51238769,0
1654088400000,0.00010557,0.00010593,0.00010406,0.00010485,40191915489.08000000,1654091999999,4218270.65874186,21825,20416712660.28000000,2142660.48795040,0
1654092000000,0.00010486,0.00010568,0.00009627,0.00009896,120326821352.01000000,1654095599999,12096050.06676348,65043,52102748150.04000000,5228937.84828116,0
1654095600000,0.00009893,0.00010120,0.00009150,0.00009363,145439494045.43000000,1654099199999,13977942.18802913,71290,70699840813.60000000,6796369.32641850,0
1654099200000,0.00009362,0.00009575,0.00009161,0.00009511,111548700248.64000000,1654102799999,10483647.02491229,50639,56069903997.53000000,5273367.37449824,0
1654102800000,0.00009511,0.00010397,0.00009280,0.00009929,105640320181.41000000,1654106399999,10301172.47232033,53891,55070990138.71000000,5366864.21659244,0
1654106400000,0.00009933,0.00010502,0.00009677,0.00009678,98822818001.42000000,1654109999999,9995225.73151648,48529,49217427766.79000000,4989638.42744308,0
